Year, January, February, March, April, May, June, July, August, September, October, November, December
1991,106.300000000000,106.600000000000,104.700000000000,161.000000000000,104.800000000000,101.600000000000,100.400000000000,100.700000000000,101.500000000000,104.400000000000,105.500000000000,107.500000000000
1992,312.300000000000,121.000000000000,136.100000000000,140.200000000000,114.500000000000,123.800000000000,116.200000000000,111.400000000000,112.100000000000,116.700000000000,122.800000000000,144.100000000000
1993,132.900000000000,131.900000000000,133.000000000000,121.400000000000,116.100000000000,117.900000000000,121.800000000000,129.100000000000,129.000000000000,138.200000000000,155.500000000000,134.400000000000
1994,142.600000000000,124.200000000000,117.400000000000,131.800000000000,133.800000000000,145.900000000000,125.400000000000,113.300000000000,109.700000000000,120.100000000000,114.200000000000,110.200000000000
1995,108.900000000000,106.700000000000,105.100000000000,103.200000000000,102.700000000000,102.300000000000,102.900000000000,102.100000000000,102.400000000000,104.100000000000,104.100000000000,103.600000000000
1996,104.100000000000,102.500000000000,101.700000000000,103.000000000000,102.000000000000,102.500000000000,101.800000000000,100.700000000000,101.200000000000,102.900000000000,102.400000000000,100.800000000000
1997,102.100000000000,101.700000000000,100.800000000000,100.800000000000,100.400000000000,100.800000000000,100.700000000000,99.700000000000,99.900000000000,101.100000000000,101.500000000000,101.300000000000
1998,101.800000000000,101.100000000000,100.700000000000,100.500000000000,100.300000000000,99.200000000000,99.800000000000,99.000000000000,99.900000000000,99.300000000000,100.000000000000,100.300000000000
1999,100.900000000000,99.800000000000,99.800000000000,104.600000000000,101.400000000000,104.800000000000,101.100000000000,99.700000000000,100.700000000000,100.700000000000,101.700000000000,101.700000000000
2000,102.600000000000,100.100000000000,100.000000000000,100.400000000000,100.700000000000,100.700000000000,100.400000000000,100.200000000000,100.500000000000,101.200000000000,101.500000000000,101.300000000000
2001,101.100000000000,100.700000000000,100.700000000000,100.700000000000,100.400000000000,100.100000000000,99.900000000000,100.000000000000,100.200000000000,100.700000000000,100.900000000000,101.000000000000
2002,100.700000000000,100.300000000000,100.200000000000,100.500000000000,100.900000000000,100.500000000000,100.600000000000,99.700000000000,100.100000000000,100.600000000000,101.000000000000,101.400000000000
2003,101.000000000000,100.500000000000,100.300000000000,100.400000000000,100.100000000000,100.100000000000,100.000000000000,100.200000000000,100.400000000000,101.300000000000,101.600000000000,100.900000000000
2004,100.700000000000,100.500000000000,100.400000000000,100.400000000000,100.200000000000,100.300000000000,100.200000000000,100.200000000000,100.800000000000,101.100000000000,100.900000000000,100.900000000000
2005,100.800000000000,100.600000000000,100.600000000000,100.600000000000,100.600000000000,100.400000000000,100.500000000000,100.200000000000,100.800000000000,101.000000000000,100.600000000000,100.900000000000
2006,100.900000000000,101.500000000000,100.800000000000,100.500000000000,100.800000000000,100.300000000000,100.200000000000,100.200000000000,100.500000000000,100.700000000000,100.800000000000,100.900000000000
2007,101.100000000000,100.800000000000,100.700000000000,100.500000000000,100.700000000000,100.800000000000,100.900000000000,100.700000000000,102.200000000000,104.400000000000,102.700000000000,101.900000000000
2008,101.100000000000,100.800000000000,100.600000000000,100.900000000000,101.000000000000,101.200000000000,100.900000000000,100.800000000000,100.600000000000,100.600000000000,100.400000000000,100.200000000000
2009,100.300000000000,100.800000000000,100.800000000000,100.800000000000,100.700000000000,100.400000000000,100.300000000000,100.200000000000,100.400000000000,100.400000000000,100.500000000000,100.600000000000
2010,101.400000000000,100.900000000000,100.700000000000,100.700000000000,100.600000000000,100.200000000000,100.200000000000,100.000000000000,100.600000000000,100.900000000000,100.800000000000,100.700000000000
2011,101.700000000000,101.500000000000,100.500000000000,100.500000000000,100.500000000000,100.300000000000,100.500000000000,100.300000000000,100.300000000000,100.200000000000,100.600000000000,100.300000000000
2012,100.300000000000,100.400000000000,100.300000000000,100.700000000000,100.700000000000,100.300000000000,100.300000000000,100.300000000000,100.600000000000,100.700000000000,100.700000000000,100.600000000000
2013,100.900000000000,100.800000000000,100.200000000000,100.300000000000,100.200000000000,100.300000000000,100.200000000000,100.200000000000,100.200000000000,100.300000000000,100.500000000000,100.700000000000
2014,100.600000000000,101.700000000000,101.000000000000,100.600000000000,100.600000000000,100.300000000000,100.100000000000,100.400000000000,100.500000000000,100.400000000000,100.600000000000,100.500000000000
2015,100.600000000000,100.400000000000,100.100000000000,100.100000000000,100.300000000000,99.900000000000,100.100000000000,100.300000000000,101.000000000000,105.200000000000,103.700000000000,101.200000000000
2016,101.300000000000,101.100000000000,100.500000000000,100.600000000000,100.500000000000,100.400000000000,100.500000000000,100.200000000000,100.200000000000,100.600000000000,101.200000000000,100.900000000000
2017,100.800000000000,101.000000000000,100.500000000000,100.500000000000,100.500000000000,100.400000000000,100.100000000000,100.100000000000,100.300000000000,101.200000000000,100.900000000000,100.700000000000
2018,100.600000000000,100.700000000000,100.500000000000,100.400000000000,100.200000000000,100.200000000000,100.100000000000,100.200000000000,100.400000000000,100.400000000000,100.900000000000,100.700000000000
2019,100.500000000000,,,,,,,,,,,
